 Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.0.104:5644     180.215.133.49:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:5652     118.107.12.204:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:5708     134.122.171.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:5738     134.122.171.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:5868     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:5882     118.107.12.204:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:6011     118.107.12.204:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:6023     180.215.201.53:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:6072     134.122.172.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:6091     180.215.133.49:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:6129     134.122.171.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:6677     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:6779     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:6858     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:6932     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:7221     112.60.13.243:443      CLOSE_WAIT      23220
  TCP    192.168.0.104:7312     118.107.12.204:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:7445     69.176.88.177:443      ESTABLISHED     1472
  TCP    192.168.0.104:7561     118.107.12.204:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:7579     134.122.171.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:7614     134.122.171.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:7617     134.122.171.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:7688     180.215.201.53:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:7689     111.63.96.22:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:7698     183.232.53.77:80       CLOSE_WAIT      1472
  TCP    192.168.0.104:7699     183.232.53.77:80       CLOSE_WAIT      1472
  TCP    192.168.0.104:7707     183.232.53.77:80       CLOSE_WAIT      1472
  TCP    192.168.0.104:7708     183.232.53.77:80       CLOSE_WAIT      1472
  TCP    192.168.0.104:7709     183.232.53.77:80       CLOSE_WAIT      1472
  TCP    192.168.0.104:7710     183.232.53.77:80       CLOSE_WAIT      1472
  TCP    192.168.0.104:7711     183.232.53.77:80       CLOSE_WAIT      1472
  TCP    192.168.0.104:7831     180.215.201.173:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:7840     118.107.12.204:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:8023     134.122.171.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:8205     118.107.12.204:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:8222     134.122.171.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:8302     118.107.12.204:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:8405     134.122.172.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:8413     118.107.12.204:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:8450     18.65.185.103:443      CLOSE_WAIT      35920
  TCP    192.168.0.104:8451     18.65.185.103:443      CLOSE_WAIT      35920
  TCP    192.168.0.104:8454     18.65.185.103:443      CLOSE_WAIT      35920
  TCP    192.168.0.104:8457     18.65.185.103:443      CLOSE_WAIT      35920
  TCP    192.168.0.104:8461     13.224.167.30:443      CLOSE_WAIT      35920
  TCP    192.168.0.104:8475     47.110.39.46:443       ESTABLISHED     30904
  TCP    192.168.0.104:8503     180.215.133.71:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:8577     180.215.201.53:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:8624     183.2.143.108:443      ESTABLISHED     18012
  TCP    192.168.0.104:8626     183.2.143.108:443      ESTABLISHED     18012
  TCP    192.168.0.104:8627     183.2.143.108:443      ESTABLISHED     18012
  TCP    192.168.0.104:8660     69.176.88.177:443      CLOSE_WAIT      1472
  TCP    192.168.0.104:8662     134.122.172.189:443    ESTABLISHED     1472
  TCP    192.168.0.104:8831     120.253.253.34:443     TIME_WAIT       0
  TCP    192.168.0.104:8841     120.253.253.226:443    TIME_WAIT       0
  TCP    192.168.0.104:8907     180.215.133.49:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:8915     180.215.201.53:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:8951     203.208.40.34:443      TIME_WAIT       0
  TCP    192.168.0.104:8952     120.253.253.98:443     ESTABLISHED     29460
  TCP    192.168.0.104:8985     120.253.253.161:443    TIME_WAIT       0
  TCP    192.168.0.104:9009     118.107.12.189:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:9025     61.147.125.113:80      ESTABLISHED     1472
  TCP    192.168.0.104:9031     111.31.200.226:443     ESTABLISHED     23220
  TCP    192.168.0.104:9089     120.253.255.162:443    ESTABLISHED     29460
  TCP    192.168.0.104:9134     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:9136     180.215.201.173:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:9212     120.253.253.225:80     TIME_WAIT       0
  TCP    192.168.0.104:9214     120.232.163.195:80     TIME_WAIT       0
  TCP    192.168.0.104:9217     120.233.17.180:80      TIME_WAIT       0
  TCP    192.168.0.104:9234     61.147.125.113:80      ESTABLISHED     1472
  TCP    192.168.0.104:9237     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:9243     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:9249     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:9252     61.147.125.113:80      ESTABLISHED     1472
  TCP    192.168.0.104:9257     134.122.171.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:9261     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:9267     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:9271     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:9275     120.233.17.180:80      TIME_WAIT       0
  TCP    192.168.0.104:9276     120.233.17.180:80      TIME_WAIT       0
  TCP    192.168.0.104:9278     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:9281     183.240.48.104:443     TIME_WAIT       0
  TCP    192.168.0.104:9283     183.240.48.104:443     TIME_WAIT       0
  TCP    192.168.0.104:9285     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:9296     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:9300     120.233.17.180:80      TIME_WAIT       0
  TCP    192.168.0.104:9303     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:9307     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:9309     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:9310     112.46.57.144:443      TIME_WAIT       0
  TCP    192.168.0.104:9312     120.232.65.174:8081    TIME_WAIT       0
  TCP    192.168.0.104:9313     183.232.231.174:80     FIN_WAIT_1      24792
  TCP    192.168.0.104:9315     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:9317     183.240.64.1:443       ESTABLISHED     24792
  TCP    192.168.0.104:9320     180.215.201.53:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:9322     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:9465     180.215.201.173:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:9554     180.215.133.49:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:9603     119.29.29.29:53        ESTABLISHED     34044
  TCP    192.168.0.104:9699     118.107.12.204:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:9852     180.215.133.71:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:10023    118.107.12.204:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:10241    69.176.88.177:443      CLOSE_WAIT      1472
  TCP    192.168.0.104:10548    8.8.8.8:53             ESTABLISHED     34044
  TCP    192.168.0.104:10989    59.111.239.36:443      CLOSE_WAIT      26364
  TCP    192.168.0.104:11000    223.109.113.120:443    CLOSE_WAIT      9804
  TCP    192.168.0.104:11082    134.122.171.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:11232    180.215.133.71:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:11295    134.122.171.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:11491    114.116.235.116:443    CLOSE_WAIT      24792
  TCP    192.168.0.104:11493    110.43.67.231:443      CLOSE_WAIT      24792
  TCP    192.168.0.104:11510    180.215.201.173:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:11511    69.176.88.177:443      CLOSE_WAIT      1472
  TCP    192.168.0.104:11513    110.43.67.231:443      CLOSE_WAIT      24792
  TCP    192.168.0.104:11533    39.156.49.61:443       CLOSE_WAIT      24792
  TCP    192.168.0.104:11535    39.156.49.61:443       CLOSE_WAIT      24792
